Lat,6,7,8,9,10,11,12,13,14,15,16,17,18,19
48,,,,,,3.961,3.983,3.954,,,,,,
47,4.607,4.761,4.339,3.911,4.144,4.312,4.544,4.175,4.203,,,,,
46,4.534,3.942,4.226,5.116,4.257,5.267,5.003,5.416,5.044,5.146,,,,
45,4.952,4.808,5.606,5.723,5.731,5.924,5.853,5.909,5.749,5.621,,,,
44,5.602,5.863,5.509,6.075,5.988,5.548,5.673,6.003,6.106,6.136,5.918,,,
43,6.013,6.323,6.341,6.339,6.287,6.137,6.075,5.928,6.180,6.308,6.319,6.259,6.039,
42,,6.407,6.391,6.256,6.413,6.481,6.489,6.069,5.687,6.200,6.294,6.448,6.469,6.404
41,,6.434,6.407,6.319,6.497,6.541,6.563,6.475,6.562,6.192,6.058,6.434,6.532,6.525
40,,6.487,6.537,6.505,6.543,6.598,6.593,6.548,6.523,6.418,6.197,6.560,6.624,6.636
39,,6.610,6.615,6.582,6.595,6.600,6.552,6.493,6.552,6.611,6.538,6.405,6.737,6.749
38,,6.652,6.610,6.614,6.608,6.616,6.603,6.549,6.334,6.147,6.255,6.743,6.789,
37,,,,,,6.578,6.584,6.689,6.749,6.430,6.805,6.807,6.823,
36,,,,,,6.685,6.676,6.757,6.813,6.836,6.851,6.865,,
35,,,,,,6.584,6.690,6.796,6.864,6.889,,,,
