mese,"giorno rappresentativo del mese","giorno_giuliano","declinazione(°)",cos δ,sen δ
gennaio,17,17,-20,92,0,93410,-0,35701
febbraio,16,47,-12,95,0,97455,-0,22418
marzo,16,75,-2,42,0,99911,-0,04218
aprile,15,105,9,41,0,98653,0,16358
maggio,15,135,18,79,0,94669,0,32213
giugno,11,162,23,09,0,91992,0,39211
luglio,17,198,21,18,0,93243,0,36136
agosto,16,228,13,45,0,97255,0,23268
settembre,15,258,2,22,0,99925,0,03868
ottobre,15,288,-9,60,0,98600,-0,16676
novembre,14,318,-18,91,0,94602,-0,32411
dicembre,10,344,-23,05,0,92017,-0,39153
